// Sealed Card Album Obtainable Items Database
//
// Structure of Database:
// GroupID,ItemID,Rate

// IG_SealedCardAlbum
63,4480,1
63,4482,1
63,4483,1
63,4485,1
63,4486,1
63,4487,1
63,4488,1
63,4489,1
63,4490,1
63,4491,1
63,4494,1
63,4497,1
63,4503,1
63,4538,1
63,4539,1

// IG_SealedCardAlbum2
64,4481,1
64,4484,1
64,4492,1
64,4498,1
64,4499,1
64,4500,1
64,4501,1
64,4501,1
64,4502,1
64,4504,1
64,27209,1
64,27211,1
64,27212,1
64,27213,1
64,27214,1
64,27215,1
64,27216,1
64,27217,1
64,27218,1
64,27219,1
64,27220,1
64,27221,1
64,27222,1
64,27224,1
64,27225,1
